"tau_c","status","mean_beran","mean_corrected","bias_beran","bias_corrected","mse_beran","mse_corrected","n_valid_corrected","correction_valid_rate"
4,"insufficient",0.503916666102917,0.560404864796953,-0.0947709940095355,-0.0382827953154986,0.0119042211030053,0.00382332261610234,30,1
6,"insufficient",0.560736880829819,0.616798329356634,-0.0379507792826335,0.0181106692441816,0.00437583123047278,0.00386760295875254,30,1
8,"insufficient",0.56812473382361,0.611174988957297,-0.0305629262888417,0.0124873288448446,0.00419022836883403,0.00526059201784196,30,1
12,"insufficient",0.574597865886196,0.595785140498484,-0.0240897942262559,-0.00290251961396804,0.00269332865194362,0.00266366320561552,30,1
20,"insufficient",0.596893248294838,0.607494099405942,-0.00179441181761431,0.00880643929349045,0.00153566161165658,0.00184570694068325,30,1
40,"at_or_beyond_99pct",0.601753124970527,0.610001250013476,0.00306546485807457,0.0113135899010245,0.0022018206132454,0.00260222088149798,27,0.9
80,"at_or_beyond_99pct",0.61333498265855,0.62190172893039,0.0146473225460985,0.0232140688179377,0.00183396381644774,0.00246144922825206,26,0.866666666666667
